student_id,student_name,dept_code,dept_name,faculty,session,year_level,email,status
CSE-202122-001,Naim Alam,CSE,Computer Science and Engineering,Faculty of Engineering,2021-22,5,cse-202122-001@university.edu,Active
CSE-202122-002,Rifat Akter,CSE,Computer Science and Engineering,Faculty of Engineering,2021-22,5,cse-202122-002@university.edu,Active
CSE-202122-003,Nabila Khan,CSE,Computer Science and Engineering,Faculty of Engineering,2021-22,5,cse-202122-003@university.edu,Active
CSE-202122-004,Rifat Mia,CSE,Computer Science and Engineering,Faculty of Engineering,2021-22,5,cse-202122-004@university.edu,Active
CSE-202122-005,Rifat Alam,CSE,Computer Science and Engineering,Faculty of Engineering,2021-22,5,cse-202122-005@university.edu,Active
CSE-202122-006,Tahsin Sultana,CSE,Computer Science and Engineering,Faculty of Engineering,2021-22,5,cse-202122-006@university.edu,Active
CSE-202122-007,Nusrat Sarker,CSE,Computer Science and Engineering,Faculty of Engineering,2021-22,5,cse-202122-007@university.edu,Active
CSE-202122-008,Rumana Akter,CSE,Computer Science and Engineering,Faculty of Engineering,2021-22,5,cse-202122-008@university.edu,Active
CSE-202122-009,Naim Alam,CSE,Computer Science and Engineering,Faculty of Engineering,2021-22,5,cse-202122-009@university.edu,Active
CSE-202122-010,Nafis Mia,CSE,Computer Science and Engineering,Faculty of Engineering,2021-22,5,cse-202122-010@university.edu,Active
CSE-202122-011,Morshed Mia,CSE,Computer Science and Engineering,Faculty of Engineering,2021-22,5,cse-202122-011@university.edu,Active
CSE-202122-012,Sami Chowdhury,CSE,Computer Science and Engineering,Faculty of Engineering,2021-22,5,cse-202122-012@university.edu,Active
CSE-202122-013,Fariha Islam,CSE,Computer Science and Engineering,Faculty of Engineering,2021-22,5,cse-202122-013@university.edu,Active
CSE-202122-014,Shahriar Mia,CSE,Computer Science and Engineering,Faculty of Engineering,2021-22,5,cse-202122-014@university.edu,Active
CSE-202122-015,Raisa Islam,CSE,Computer Science and Engineering,Faculty of Engineering,2021-22,5,cse-202122-015@university.edu,Active
CSE-202223-001,Nabila Mahmud,CSE,Computer Science and Engineering,Faculty of Engineering,2022-23,4,cse-202223-001@university.edu,Active
CSE-202223-002,Sabrina Rahman,CSE,Computer Science and Engineering,Faculty of Engineering,2022-23,4,cse-202223-002@university.edu,Active
CSE-202223-003,Sanjida Ahmed,CSE,Computer Science and Engineering,Faculty of Engineering,2022-23,4,cse-202223-003@university.edu,Active
CSE-202223-004,Sadia Ahmed,CSE,Computer Science and Engineering,Faculty of Engineering,2022-23,4,cse-202223-004@university.edu,Active
CSE-202223-005,Sanjida Hasan,CSE,Computer Science and Engineering,Faculty of Engineering,2022-23,4,cse-202223-005@university.edu,Active
CSE-202223-006,Sadia Hasan,CSE,Computer Science and Engineering,Faculty of Engineering,2022-23,4,cse-202223-006@university.edu,Active
CSE-202223-007,Nabila Hossain,CSE,Computer Science and Engineering,Faculty of Engineering,2022-23,4,cse-202223-007@university.edu,Active
CSE-202223-008,Mim Hasan,CSE,Computer Science and Engineering,Faculty of Engineering,2022-23,4,cse-202223-008@university.edu,Active
CSE-202223-009,Nusrat Alam,CSE,Computer Science and Engineering,Faculty of Engineering,2022-23,4,cse-202223-009@university.edu,Active
CSE-202223-010,Shahriar Karim,CSE,Computer Science and Engineering,Faculty of Engineering,2022-23,4,cse-202223-010@university.edu,Active
CSE-202223-011,Fahim Rahman,CSE,Computer Science and Engineering,Faculty of Engineering,2022-23,4,cse-202223-011@university.edu,Active
CSE-202223-012,Rahim Akter,CSE,Computer Science and Engineering,Faculty of Engineering,2022-23,4,cse-202223-012@university.edu,Active
CSE-202223-013,Rifat Mahmud,CSE,Computer Science and Engineering,Faculty of Engineering,2022-23,4,cse-202223-013@university.edu,Active
