teacher_id,teacher_name,dept_code,total_duties,max_duties
T001,Dr. Rahim Khan,CSE,7,7
T002,Prof. Sanjida Islam,CSE,6,7
T003,Dr. Mahin Akter,CSE,6,8
T004,Prof. Nusrat Islam,CSE,7,7
T005,Ms. Nusrat Sultana,CSE,6,6
T006,Ms. Fariha Ahmed,CSE,7,7
T007,Prof. Jannat Hossain,EEE,6,8
T008,Prof. Nabila Mia,EEE,6,6
T009,Ms. Nafis Sultana,EEE,6,6
T010,Mr. Mim Rahman,EEE,7,7
T011,Ms. Karim Karim,EEE,6,7
T012,Mr. Anika Khan,EEE,6,6
T013,Ms. Mehedi Hossain,BBA,6,6
T014,Ms. Rifat Chowdhury,BBA,6,7
T015,Ms. Nabila Khan,BBA,6,6
T016,Mr. Mim Mia,BBA,7,7
T017,Mr. Farhan Sarker,BBA,6,7
T018,Prof. Jannat Hasan,BBA,6,8
T019,Prof. Rahim Sultana,ENG,6,8
T020,Mr. Rafi Karim,ENG,6,6
T021,Mr. Hasan Chowdhury,ENG,6,8
T022,Prof. Naim Mahmud,ENG,7,8
T023,Mr. Nusrat Chowdhury,ENG,7,8
T024,Dr. Sanjida Ahmed,ENG,6,6
T025,Mr. Mim Mia,MAT,6,6
T026,Prof. Farhan Mahmud,MAT,6,7
T027,Prof. Raihan Hasan,MAT,5,8
T028,Ms. Nabila Karim,MAT,6,8
T029,Prof. Naim Chowdhury,MAT,6,8
T030,Prof. Nafis Mahmud,MAT,6,8
T031,Dr. Sami Islam,PHY,6,8
T032,Mr. Mehedi Ahmed,PHY,6,6
T033,Dr. Jannat Rahman,PHY,6,8
T034,Ms. Mehedi Hasan,PHY,5,6
T035,Mr. Farhan Rahman,PHY,6,7
T036,Ms. Anika Sarker,PHY,6,6
